state,baseline_unemployment,shock_unemployment,recovery_months,abbr,rank,label
Massachusetts,3.03,17.2,24,MA,1,"MA
24"
New York,3.95,15.2,24,NY,2,"NY
24"
New Jersey,3.64,14.4,24,NJ,3,"NJ
24"
Colorado,2.76,10.9,24,CO,4,"CO
24"
Connecticut,3.64,7.8,24,CT,5,"CT
24"
California,4.21,15.7,23,CA,6,"CA
23"
Hawaii,2.38,22.1,20,HI,7,"HI
20"
Nevada,4.38,30.1,20,NV,8,"NV
20"
Illinois,3.88,17.9,20,IL,9,"IL
20"
Texas,3.62,12.3,20,TX,10,"TX
20"
Florida,3.24,12.9,19,FL,11,"FL
19"
South Carolina,2.72,11.0,19,SC,12,"SC
19"
New Mexico,5.1,8.4,19,NM,13,"NM
19"
Maryland,3.33,8.6,19,MD,14,"MD
19"
Delaware,3.7,12.7,19,DE,15,"DE
19"
Michigan,3.96,22.5,19,MI,16,"MI
19"
Rhode Island,3.51,17.5,19,RI,17,"RI
19"
Vermont,2.08,14.0,18,VT,18,"VT
18"
Pennsylvania,4.36,15.1,18,PA,19,"PA
18"
Virginia,2.7,11.0,18,VA,20,"VA
18"
Oregon,3.6,13.3,18,OR,21,"OR
18"
Ohio,4.19,15.9,17,OH,22,"OH
17"
North Carolina,3.83,13.8,17,NC,23,"NC
17"
New Hampshire,2.55,15.8,17,NH,24,"NH
17"
Oklahoma,3.12,12.1,17,OK,25,"OK
17"
Missouri,3.25,10.9,17,MO,26,"MO
17"
Tennessee,3.37,15.0,17,TN,27,"TN
17"
Washington,4.12,16.5,17,WA,28,"WA
17"
Iowa,2.67,10.7,17,IA,29,"IA
17"
Idaho,2.82,11.5,16,ID,30,"ID
16"
Louisiana,4.82,13.0,16,LA,31,"LA
16"
Arkansas,3.58,9.6,16,AR,32,"AR
16"
Arizona,4.77,13.2,16,AZ,33,"AZ
16"
North Dakota,2.12,8.4,16,ND,34,"ND
16"
Indiana,3.32,16.5,16,IN,35,"IN
16"
Wisconsin,3.22,14.0,16,WI,36,"WI
16"
Alaska,5.46,11.8,15,AK,37,"AK
15"
Wyoming,4.02,4.9,15,WY,38,"WY
15"
Utah,2.49,9.8,13,UT,39,"UT
13"
Minnesota,3.34,8.6,13,MN,40,"MN
13"
West Virginia,5.02,15.6,13,WV,41,"WV
13"
Alabama,3.12,13.1,12,AL,42,"AL
12"
Mississippi,5.58,14.8,12,MS,43,"MS
12"
Kansas,3.12,11.8,12,KS,44,"KS
12"
Georgia,3.57,11.9,12,GA,45,"GA
12"
South Dakota,2.65,8.8,6,SD,46,"SD
6"
Kentucky,4.11,16.1,6,KY,47,"KY
6"
Montana,3.52,11.8,6,MT,48,"MT
6"
Maine,2.96,9.2,5,ME,49,"ME
5"
Nebraska,3.2,8.0,4,NE,50,"NE
4"
