state,shock_year,baseline_unemp,threshold_unemp,recovery_date,months_to_recover,unemp_spike_12mo
TEXAS,2020,3.525,4.025,2022-05-01,28,8.775
LOUISIANA,2020,4.642,5.142,2021-11-01,22,8.358
OREGON,2020,3.708,4.208,2021-11-01,22,9.592
TENNESSEE,2020,3.342,3.842,2021-11-01,22,11.658
WASHINGTON,2020,4.2,4.7,2021-11-01,22,12.3
HAWAII,2023,3.292,3.792,2023-03-01,2,0.008
FLORIDA,2022,4.7,5.2,2022-03-01,2,-1.0
SOUTH DAKOTA,2022,2.55,3.05,2022-03-01,2,-0.15
NEBRASKA,2022,2.642,3.142,2022-03-01,2,-0.142
COLORADO,2021,6.808,7.308,2021-03-01,2,-0.208
NEW MEXICO,2024,3.667,4.167,2024-03-01,2,1.633
VERMONT,2023,2.358,2.858,2023-03-01,2,0.242
MISSISSIPPI,2023,3.783,4.283,2023-03-01,2,0.217
GEORGIA,2024,3.283,3.783,2024-03-01,2,0.817
NORTH CAROLINA,2024,3.492,3.992,2024-03-01,2,0.608
